reviewText,processedReviewText
I love my Longer Ray 5 10w laser. It does better than I expected. I am new to the laser world and this laser is great for beginners and experienced laser crafters. I make several items to sell at craft shows and my customers tell me how professional my laser crafts look. The support team at Longer has been great also. When I have a question they get right back to me. I would highly recommend this laser to anyone.,love longer ray 5 10w laser well expect new laser world laser great beginner experience laser crafter make several item sell craft show customer tell professional laser craft look support team longer great also question get right back would highly recommend laser anyone
"Easy to setup, just a few screws, and then plug and play, sd card comes with software, package comes with protection glass, and three basswood pieces for testing, when using it, need place in a good vent area, I plan to buy a shop vent fan.",easy setup screw plug play sd card come software package come protection glass three basswood piece test use need place good vent area plan buy shop vent fan
"I ordered a 10w laser but I got a 5w laser instead. When I turned this thing on, it kept saying Hard Limit and the message won't go away. I tried using LightBurn to reconfigure it but nothing works. Will be sending this back to buy some other brand.",order 10w laser get 5w laser instead turn thing keep say hard limit message go away try use lightburn reconfigure nothing work send back buy brand
Laser did not work. Reached out to Amazon and to the email provided for support and received none. Horrible. Returning item is even difficult. I wish I never purchased. I guarantee this review will not get posted!,laser work reach amazon email provide support receive none horrible return item even difficult wish never purchase guarantee review get post
This is the best 10 watt laser output I've seen so far. The frame definitely needs some work as far as organizing wires. I installed my own track which was not too hard to do. But if you're looking just for quality to start with this unit is beautiful for that as you can see in my pictures. My unit is a 10 watt unit. I was very curious what a 20 watt unit can do. Especially on metal. I hope this is help to some people out there.,best 10 watt laser output see far frame definitely need work far organize wire instal track hard look quality start unit beautiful see picture unit 10 watt unit curious 20 watt unit especially metal hope help people
"Instructions are misleading and hard to understand as well as being blurry,fixing to return it because there is no one to speak to all I get is emails saying we sent you the instructions,so I not going to stress anymore trying to set it up.",instruction mislead hard understand well blurryfixing return one speak get email say send instructionsso go stress anymore try set
"No problems, if your using with Easel you can use the FoxAlien 4040 XE profile. This seems to be very similar to that CNC.",problem use easel use foxalien 4040 xe profile seem similar cnc
does not work. driver errors. manual control does not work. save your money or go elsewhere.,work driver error manual control work save money go elsewhere
"Hooray for Westinghouse. This power washer came well packed, all the right parts, they fit well, easy instructions — and it works like a charm. Good pressure for clearing off slippery mildew from my stone walkways. The wheels keep it stable so it doesn't tip over. If I had one wish, it would be for the power button to have a light or indicator so I would know if it's on or off when it's sitting. Definitely happy to recommend this. And it's a decent price!",hooray westinghouse power washer come well pack right part fit well easy instruction — work like charm good pressure clear slippery mildew stone walkways wheel keep stable tip one wish would power button light indicator would know sit definitely happy recommend decent price
"This power washer is exactly what I was looking for to help clean around the house. I used it to clean the dust/dirt off my porch, deck, outdoor funnel and walls of my house and it worked beautifully. I was concerned about it having too much pressure and causing damage to my paint and concrete but it handled it perfectly with the 25 degree nozzle. Now I know if I need more pressure, I can go with a smaller nozzle. I'll be able to use it to clean my cars and bikes next. Also, the size is perfect too - not too big, so it fits nicely in the garage.",power washer exactly look help clean around house use clean dustdirt porch deck outdoor funnel wall house work beautifully concern much pressure cause damage paint concrete handle perfectly 25 degree nozzle know need pressure go small nozzle able use clean car bike next also size perfect big fit nicely garage
"I bought this attachment to go along with a 2000psi electric pressure washer I have. I knew the pressure washer wasn't the strongest, so I didn't have the highest expect with how it would power the surface cleaner. I was pleasantly surprised to see that the cleaner worked great and was so much easier to use than just the regular wand. It still required me to go slow on the concrete (otherwise you could see some swirl marks where it didn't get completely clean) but overall it was much faster than using the wand. Wish I would have bought it sooner.",buy attachment go along 2000psi electric pressure washer knew pressure washer strong high expect would power surface cleaner pleasantly surprise see cleaner work great much easy use regular wand still require go slow concrete otherwise could see swirl mark get completely clean overall much faster use wand wish would buy sooner
This pressure washer looks nice and the build quality is adequate but the cleaning ability is poor. It blows off dust and light dirt but don't expect it to do much cleaning. I was trying to get by with an electric washer because of convenience but I'll continue to use my gas power washer for deeper cleaning.,pressure washer look nice build quality adequate clean ability poor blow dust light dirt expect much cleaning try get electric washer convenience continue use gas power washer deep cleaning
"The product is very good. However their support is awful and they are not responsive at all. My device stop turning on and I called them so far 5 times, However never get response even the product has 3 years warranty",product good however support awful responsive device stop turning call far 5 time however never get response even product 3 year warranty
I'm very disappointed. The onboard soap bottle is not effective at all. It leaks more solution than it sprays. I should return the whole kit for this reason. The pressure is not any better than my old SunJoe brand which cost less.,disappointed onboard soap bottle effective leak solution spray return whole kit reason pressure well old sunjoe brand cost less
"Bought this for my husband and didn't have a chance to use it right away. Stayed in the box until 2 months ago. Uses it once for less than 10 minutes and it worked great. Second time, uses it for about 5 minutes, turned it off and when we tried to power back on there was no power. Did all the troubleshooting steps suggested by the manufacturer and never heard back. What a waste",bought husband chance use right away stay box 2 month ago use less 10 minute work great second time use 5 minute turn tried power back power troubleshoot step suggest manufacturer never hear back waste
"I appreciate the fact that my Epx3500 electric pressure washer is both light weight and easy to maneuver in contrast with my gas-powered pressure washer. I have yet to utilize the full benefits of this product at this time and I hope it meets my expectations. Thus far, I can only give this product a three-star rating based upon my past use of former usage of Westinghouse products.",appreciate fact epx3500 electric pressure washer light weight easy maneuver contrast gaspowered pressure washer yet utilize full benefit product time hope meet expectation thus far give product threestar rating base upon past use former usage westinghouse product
Was not as powerful as a higher psi and gpm one I have. I bought it because I have a small electric 1800psi 2.3 gpm power washer and thought this would work better but it does not.,powerful high psi gpm one buy small electric 1800psi 23 gpm power washer thought would work well
The bottom nozzle holder won't click in place but I'll just superglue it and it will be sold. Assembly needs no tools. I only give you three because I haven't used it yet..,bottom nozzle holder click place superglue sell assembly need tool give three use yet
"Product is great for washing cars and some light cleaning of porches and driveways. However, I could not get it work with any of my outside outlets as they are all GFCI. After 10-20 seconds of working, it would trip my breakers. Tried all outlets. Ended up having to plug inside the house in a standard outlet with an extension cord, then worked as it should have. I don't know if something is wrong with my unit or what. If you are looking for a pressure to do things other than wash a car, get something with more power and way more gpm. Would recommend a gas washer.",product great washing car light clean porch driveway however could get work outside outlet gfci 1020 second work would trip breaker try outlet end plug inside house standard outlet extension cord work know something wrong unit look pressure thing wash car get something power way gpm would recommend gas washer
"This is our second one. We bought this for our second house. It really works well, pressure is great for cleaning patios and sidewalks etc. the cord is long, and the hose is a standard hose and fittings that is easy to replace ( haven't had to yet) Had a different brand that had their own proprietary fitting that I couldn't replace. It's nice and compact, easy to store. Recommend bringing it in for the winter to prevent freeze damage.",second one buy second house really work well pressure great clean patio sidewalk etc cord long hose standard hose fitting easy replace yet different brand proprietary fitting could replace nice compact easy store recommend bring winter prevent freeze damage
"I really like this pressure washer. It's easy to use. The only thing I don't like about it is, the hose is extremely stiff. Makes it hard to roll back up. I need to see if I can find a different hose for it. Otherwise, it's a good machine.",really like pressure washer easy use thing like hose extremely stiff make hard roll back need see find different hose otherwise good machine
"Nice easy to use design for light duty projects such as spraying off algae on a plastic fence. But for deeper cleaning, like a deck, it is not strong enough.",nice easy use design light duty project spray algae plastic fence deeper clean like deck strong enough
"It works really well, and pretty much as expected. Not really sure what the selling point of two soap tanks are? I would much prefer a longer hose to the wand. If doing bigger jobs you have to move the base often and with three different cords going different direction it sometimes slows things down,",work really well pretty much expect really sure sell point two soap tank would much prefer long hose wand big job move base often three different cord go different direction sometimes slow thing
"I purchased this item in May 2023. I used it one time last year and the thermal sensor kicked in after about 15 minutes. As a result, it stopped functioning. I let it cool down. Ii would not restart. I called technical support and they walked me through a step-by-step procedure that was not in the owners manual. I wrote this process down. I got it out again this year and tried to use it and again it stopped working after about 15 minutes. I went through the process from last year. It still does not work. I tried calling technical support for assistance and nobody is available to help me. I am extremely disappointed in this item. It does not work as described.",purchase item may 2023 use one time last year thermal sensor kick 15 minute result stop function let cool ii would restart call technical support walk stepbystep procedure owner manual write process get year try use stop work 15 minute go process last year still work tried call technical support assistance nobody available help extremely disappointed item work describe
"I have used this 4 times only. The third time I used it the motor had a piercing intermittent screech sound. The 4th time I used it, the gun had no pressure going to it. The motor came on fine. I replaced the hose with a new one, replaced the plug, tried different plugs, cleaned it thoroughly and it still won't get pressure to it. Waste of money.",use 4 time third time use motor pierce intermittent screech sound 4th time use gun pressure go motor come fine replace hose new one replace plug try different plug clean thoroughly still get pressure waste money
"This thing worked well for 4 or 5 uses. Then the brass fitting on the nozzle broke, making the entire thing useless. I'm on hold with the company hoping for a replacement part right now, and I'll update if there's any resolution.",thing work well 4 5 us brass fit nozzle break make entire thing useless hold company hop replacement part right update resolution
"We bought this pressure washer when we moved into our new home. It came with a 2 year warranty and broke close to year three. It works well and does the job. I am not giving it a five star because it broke close to the 3 year mark (I used it five times, at most!),. When I spoke to customer service, I was told that I should buy a new one, and call them, and they'll give me a three year warranty on the new pressure washer. In the end, this will be the last Sun Joe product I purchase.",bought pressure washer move new home come 2 year warranty break close year three work well job give five star break close 3 year mark use five time speak customer service tell buy new one call give three year warranty new pressure washer end last sun joe product purchase
Worked great for 4 years. Last week the motor burned up.,work great 4 year last week motor burn
Reasonably priced washer. This is our second. 1st died 2 and1/2 years later. Not much use in 2 and a half years. Only bought a second because we purchased extra accessories. Seems to be a disposable item cant wait to see how long the second lasts.,reasonably price washer second 1st die 2 and12 year later much use 2 half year buy second purchase extra accessory seem disposable item cant wait see long second last
Product works well as described. Good value for the price for regular homeowner work. Only reason for 3 stars is because it was missing the coupling that I'd needed to connect your garden hose. So it was useless until I went to hardware store to buy a coupling for $10.,product work well describe good value price regular homeowner work reason 3 star miss couple would need connect garden hose useless go hardware store buy couple $ 10
"This Vacuum sucks! LITERALLY! It's so good, and cleans and has a very powerful suction, that cleans all of the deep spaces in my vehicle. I would highly recommend this shop vac!",vacuum suck literally good clean powerful suction clean deep space vehicle would highly recommend shop vac
"I needed a shop vac in order to clean out the trap on my washing machine that wouldn't drain. Without this wet vac, opening it would have flooded my laundry room. I was so impressed with the suction and how quickly it sucked the water up. Easy to assemble and appreciate all the accessories / attachments. It is very powerful and lightweight. We'll see how durable it is since I'm used to a metal canister one.",need shop vac order clean trap wash machine would drain without wet vac open would flood laundry room impressed suction quickly suck water easy assemble appreciate accessory attachment powerful lightweight see durable since use metal canister one
My son turned me on to this vacuum. It picks up so well. I have mats in the garage with those designs that leave debris between them. This gets between the designs! I'm used to cordless in the house bc I have 3 floors. They work fine but needed something with more suction for the garage. ⭐️⭐️⭐️⭐️⭐️,son turn vacuum pick well mat garage design leave debris get design use cordless house bc 3 floor work fine need something suction garage star ️ star ️ star ️ star ️ star ️
At 82 years of age I needed a light vacuum to drag up and down the stairs. This vacuum works fine for that purpose. I do regret it only has one speed and pray it lasts as long as I do.,82 year age need light vacuum drag stairs vacuum work fine purpose regret one speed pray last long
"truly it sucks, cleans up everything, and the cord is so long damn, its amazing. get your during christmas. best prices.",truly suck clean everything cord long damn amazing get christmas best price
Best price on Amazon. A local vac company wanted $200 for the same product. I've had Oreck for years and it is a great vacuum. All we had to do was put the handle on.,best price amazon local vac company want $ 200 product oreck year great vacuum put handle
"Works great, lightweight and moves with ease from one surface to another.",work great lightweight move ease one surface another
"This Vacuum sucks! LITERALLY! It's so good, and cleans and has a very powerful suction, that cleans all of the deep spaces in my vehicle. I would highly recommend this shop vac!",vacuum suck literally good clean powerful suction clean deep space vehicle would highly recommend shop vac
I bought this for my husband after our very old shop vac up and died. He tried it out right away and said it worked very good. It has just the right amount of vacuum power. He likes the attachments too.,bought husband old shop vac die tried right away say work good right amount vacuum power like attachment
"Incredible suction power. Easy to assemble plenty of power to suck up the biggest of jobs. With the use of internal vacuum bags? You don't have to worry about any of the smell but that's up to you. Sucks up water, easy Peezy and fast.",incredible suction power easy assemble plenty power suck big job use internal vacuum bag worry smell suck water easy peezy fast
"It's power cord is bright orange, with the thick gauge (thickness) of an extension cord for powering a freezer. So it is way to thick to fit in the upper cord holder on the handle. It broke the first day. The fit of the plastic pieces is poor, not aligning squarely. The attachments are awkward, poorly thought out. The vacuuming power/operation of the unit is good. It is self propelled and that's handy. This is the last Hoover product I'll ever purchase. I don't think it will last more than a few years, if that. I'd give it a pass.",power cord bright orange thick gauge thickness extension cord power freezer way thick fit upper cord holder handle break first day fit plastic piece poor align squarely attachment awkward poorly think vacuum poweroperation unit good self propel handy last hoover product ever purchase think last year would give pas
"I bought this vacuum to be used in a bar. It does get used a lot, but I figured the ""professional"" status meant it was durable. It lasted less than 8 months before the wheels fell off due to small plastic pieces wearing away. Would not recommend for commercial use.",bought vacuum use bar get use lot figure professional status mean durable last less 8 month wheel fell due small plastic piece wear away would recommend commercial use
Used only twice and the brush bar stopped turning. I took this apart and couldn't see what was wrong. I figured maybe the belt but it was still in tack ONLY the belt had BISSELL printed on it?? Is BISSELL part of the Sanitaire line?? Can't find anyone to help me. Customer Service said take it to a vac repair place only closest 1 hour away. Very disappointed since I have owned a commercial Sanitaire for years. This vac is a little clumsy in emptying the dust cup.,use twice brush bar stop turn take apart could see wrong figure maybe belt still tack belt bissell print bissell part sanitaire line find anyone help customer service say take vac repair place close 1 hour away disappointed since own commercial sanitaire year vac little clumsy empty dust cup
The plastic is flimsy. It dies the job but I don't see it lasting too long. This is definitely NOT HEAVY DUTY!,plastic flimsy dy job see last long definitely heavy duty
This thing is great even my friend who has a Bridgeport at home likes it. I just wish I had an RPM readout on it just so I'd know how fast it was going. The control is very precise.,thing great even friend bridgeport home like wish rpm readout would know fast go control precise
Unpacking was simple. Claw hammer and 4 bolts. Ended up using the 4 bolts to mount on my work table. Don't need much room for its small footprint. Have only used it for drilling and some tang work on knives. Great bang for your buck.,unpack simple claw hammer 4 bolt end use 4 bolt mount work table need much room small footprint use drilling tang work knives great bang buck
"This machine, runs well , quiet, can take a .040 cut in 1018, with a 1 inch end mill, as long as you use proper speeds, i love it, next best thing would be a knee mill, perfect for a retired machinist",machine run well quiet take 040 cut 1018 1 inch end mill long use proper speed love next best thing would knee mill perfect retire machinist
"The item was very well packed. The instructions were very clear and easy to understand. All tools needed were supplied and the fasteners were labeled well. The wiring harness was complete in the drag chain, just had to make the connections. After assembly, I loaded the test files and they all completed on a test piece of plywood. I plan to use this CNC for hobby work. The supplied spindle is good for light projects but I'm using a HF 1/4"" trim router that fit well in the supplied adapter. This is a good starter unit for anyone wanting to get into CNC woodworking.",item well packed instruction clear easy understand tool need supplied fastener label well wire harness complete drag chain make connection assembly load test file complete test piece plywood plan use cnc hobby work supply spindle good light project use hf 14 trim router fit well supplied adapter good starter unit anyone want get cnc woodworking
"Beginners will find this machine to be quite frustrating. Everything from setting up the included software to figuring out feeds and speeds is a black box with little to no information to help. But if you can get past that and get cutting, this thing is a little miracle at this price. The ability to turn it into a 4080, or upgrade to a 300w spindle or a laser, or add an offline controller for just a small additional investment is one of the biggest selling points for this particular machine over others.",beginner find machine quite frustrating everything set include software figure feed speed black box little information help get past get cut thing little miracle price ability turn 4080 upgrade 300w spindle laser add offline controller small additional investment one big sell point particular machine other
anyone interested in precision work is advised to look elsewhere. german engineering has run amok with this mill. if you are cutting balsa wood or cardboard this would be ideal. cutting anything else is a challenge. the collet system is a joke. 10 mm will not hold 3/8 endmill. you need to tighten spindle and z axis to bring even close to square. save your money and buy an asian machine for half as much and get a standard collet system with it. the proxon is a wet dream and a misrepresentation of what it can do. Proxxon 34108 Micro Mill FF 230,anyone interested precision work advise look elsewhere german engineering run amok mill cut balsa wood cardboard would ideal cut anything els challenge collet system joke 10 mm hold 38 endmill need tighten spindle z axis bring even close square save money buy asian machine half much get standard collet system proxon wet dream misrepresentation proxxon 34108 micro mill ff 230
"OK alway thiught these would be great for mill and lathe moving. Current pallet jack is cumbersome, these seemed more flexible. All seemed well but started seeing slide off on one or two of them more in turns but also straight rolls. Hadca lathe on four until on slipped loose making 2000lb lathe tip half over. Had to use a cherry picker to upright. The top swivel is too smooth to stop sliding out. They need stopper pins in the top to prevent this. I plan turning a plate thatcsits on top with rough knurl surface and four drop in pins to prevent total slide off. Rolls nice and a simple steel rod turns the direction. Just stabd clear and watch.",ok alway thiught would great mill lathe move current pallet jack cumbersome seem flexible seem well started see slide one two turn also straight roll hadca lathe four slip loose make 2000lb lathe tip half use cherry picker upright top swivel smooth stop slide need stopper pin top prevent plan turn plate thatcsits top rough knurl surface four drop pin prevent total slide roll nice simple steel rod turn direction stabd clear watch
The free shipping is great! These weigh a ton. It would have cost as much or more to ship these than what was paid to buy them. These are great moving skates but have the same issues as any others. You need to put a pad or something to keep your equipment from slipping off. Plus as the riggers told me never put them on 4 corners. Put 2 at the rear and a steerable one on the front to maneuver. Got my 4500 lb CNC lathe out on the slab to be moved. It did slip off once though.,free shipping great weigh ton would cost much ship pay buy great move skate issue other need put pad something keep equipment slip plus rigger tell never put 4 corner put 2 rear steerable one front maneuver get 4500 lb cnc lathe slab move slip though
Stability and durability is unbelievable! Great purchase to help with moving large items.,stability durability unbelievable great purchase help move large item
"We’ve been using this CNC machine in our workshop for about a year now, and it has been fantastic. The precision it offers is unmatched, and it handles a wide variety of materials like metal and wood with ease. Even after running it for long shifts, it operates smoothly without any major hiccups. Maintenance has been minimal so far, which is a huge plus for us, as downtime can be costly. The machine’s build quality is solid, and it’s been a real asset to our production process. If you’re looking for something reliable and efficient for large-scale manufacturing, I highly recommend it.",’ use cnc machine workshop year fantastic precision offer unmatched handle wide variety material like metal wood ease even run long shifts operate smoothly without major hiccup maintenance minimal far huge plus u downtime costly machine ’ build quality solid ’ real asset production process ’ look something reliable efficient largescale manufacturing highly recommend
"“Honestly, I’m really disappointed with this CNC machine. We bought it for our manufacturing line, but it’s been a headache from day one. While it’s accurate when it works, it constantly breaks down during heavy use. We’ve had to replace multiple parts already, and the machine requires constant maintenance just to keep it running. This has caused major disruptions in our production schedule. To make matters worse, customer support has been incredibly slow in responding to our requests for help. For something that’s supposed to be industrial-grade, it doesn’t hold up to the demands of our business.”",“ honestly ’ really disappointed cnc machine buy manufacture line ’ headache day one ’ accurate work constantly break heavy use ’ replace multiple part already machine require constant maintenance keep run cause major disruption production schedule make matter bad customer support incredibly slow respond request help something ’ suppose industrialgrade ’ hold demand business ”
